PheCode,Phenotype,Category,OMICSPRED ID,Internal R2,Platform,Description,Hazard Ratio,FDR adjusted P-value
8.52,Intestinal infection due to C. difficile,infectious diseases,OPGS000538,0.109,SomaScan,Cyclic AMP-responsive element-binding protein 3-like protein 4,1.13 (1.07 1.20),4.04E-02
8.52,Intestinal infection due to C. difficile,infectious diseases,OPGS005167,0.269,RNAseq,TCF19,1.13 (1.07 1.19),4.04E-02
8.6,Viral Enteritis,infectious diseases,OPGS012118,0.040,RNAseq,KIAA0753,0.89 (0.84 0.93),4.54E-02
38,Septicemia,infectious diseases,OPGS005704,0.221,RNAseq,AF131215.5,1.05 (1.03 1.07),4.28E-02
38,Septicemia,infectious diseases,OPGS009970,0.070,RNAseq,CLDN23,1.05 (1.03 1.07),4.28E-02
70.2,Viral hepatitis B,infectious diseases,OPGS014979,0.016,RNAseq,SUCNR1,1.43 (1.24 1.66),1.17E-02
70.3,Viral hepatitis C,infectious diseases,OPGS003023,0.027,Metabolon,5alpha-androstan-3beta.17alpha-diol disulfate,0.78 (0.71 0.86),2.25E-02
70.4,Chronic hepatitis,infectious diseases,OPGS000569,0.103,SomaScan,cAMP-specific 3'.5'-cyclic phosphodiesterase 4D,0.73 (0.67 0.80),9.73E-09
70.4,Chronic hepatitis,infectious diseases,OPGS001701,0.019,SomaScan,UDP-N-acetylhexosamine pyrophosphorylase,1.37 (1.24 1.50),8.36E-08
70.4,Chronic hepatitis,infectious diseases,OPGS001773,0.018,SomaScan,17-beta-hydroxysteroid dehydrogenase 14,0.74 (0.67 0.81),3.42E-07
70.4,Chronic hepatitis,infectious diseases,OPGS000240,0.198,SomaScan,MHC class I polypeptide-related sequence B,0.73 (0.67 0.81),4.02E-07
70.4,Chronic hepatitis,infectious diseases,OPGS000572,0.102,SomaScan,Glutamate receptor 4,0.75 (0.69 0.82),5.56E-07
70.4,Chronic hepatitis,infectious diseases,OPGS000147,0.288,SomaScan,Ferritin. mitochondrial,0.76 (0.69 0.83),5.74E-07
70.4,Chronic hepatitis,infectious diseases,OPGS001067,0.048,SomaScan,Ubiquitin-like protein ISG15,1.36 (1.23 1.50),8.08E-07
70.4,Chronic hepatitis,infectious diseases,OPGS000920,0.061,SomaScan,T-cell surface protein tactile,0.76 (0.70 0.83),2.47E-06
70.4,Chronic hepatitis,infectious diseases,OPGS001302,0.033,SomaScan,Immunoglobulin D,0.75 (0.69 0.83),2.63E-06
70.4,Chronic hepatitis,infectious diseases,OPGS000618,0.096,SomaScan,MHC class I polypeptide-related sequence B,0.73 (0.66 0.81),4.44E-06
70.4,Chronic hepatitis,infectious diseases,OPGS001386,0.030,SomaScan,Coiled-coil domain-containing protein 134,1.27 (1.16 1.40),2.50E-04
70.4,Chronic hepatitis,infectious diseases,OPGS000783,0.075,SomaScan,Interleukin-36 alpha,0.79 (0.72 0.87),3.34E-04
70.4,Chronic hepatitis,infectious diseases,OPGS000878,0.065,SomaScan,Beta-2-microglobulin,1.27 (1.15 1.40),9.04E-04
70.4,Chronic hepatitis,infectious diseases,OPGS001037,0.051,SomaScan,Polypeptide N-acetylgalactosaminyltransferase 1,1.24 (1.13 1.37),1.37E-03
70.4,Chronic hepatitis,infectious diseases,OPGS001053,0.049,SomaScan,C-C motif chemokine 19,0.78 (0.70 0.87),2.26E-03
70.4,Chronic hepatitis,infectious diseases,OPGS000984,0.055,SomaScan,Complement C2,1.26 (1.14 1.40),3.87E-03
70.4,Chronic hepatitis,infectious diseases,OPGS000290,0.171,SomaScan,Complement C4,0.81 (0.73 0.89),7.89E-03
